created_at,favorite_count,text,in_reply_to_screen_name,location,quote_count,reply_count,retweet_count,username
Fri Sep 01 00:29:43 +0000 2023,2,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #TajukRencana #AdadiKompas https://t.co/BYO2CtHzz3,,"Palmerah, Jakarta",1,0,0,hariankompas
Fri Sep 01 00:26:21 +0000 2023,1,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #Dikbud #AdadiKompas https://t.co/Jv0PF9K6bk,,"Palmerah, Jakarta",0,0,1,hariankompas
Thu Aug 31 20:08:07 +0000 2023,0,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #Dikbud #AdadiKompas https://t.co/DA4LxpByXC,,"ÜT: 62.478419,21.330711",0,0,0,kompasmuda
Thu Aug 31 19:50:25 +0000 2023,0,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #Dikbud #AdadiKompas https://t.co/SaWwMHrkRZ,,"Palmerah, Jakarta",0,0,1,hariankompas
Thu Aug 31 14:50:50 +0000 2023,2,penghapusan kewajiban skripsi malah jadi alibi validasi mahasiswa yang males skripsian,,,0,0,0,ardiandio
Thu Aug 31 03:15:41 +0000 2023,2,@robbyiborrn Iya kang kalau soal adu-aduan kesibukan pasti enggak akan selesai ujungnya. Cuma kesan yang didapatkan dari penghapusan kewajiban skripsi ini jadi cara aman bagi para mahasiswa. Padahal sayang banyak potensi yang bisa digali dari pengalaman skripsi. Mostly pengalaman hidup.,robby_rrn,Indonesia,0,2,0,yogsyg
Thu Aug 31 01:50:13 +0000 2023,1,@aqisthiaf Itulah kan bukan penghapusam skripsi. Tapi penghapusan kewajiban kalau tugas akhir bentuknya HANYA skripsi. Dan keputusan tetep dari kampusnya masing2. Artinya akan tetep ada kampus yg wajibin hanya dalam bentuk skripsi sebagai tugas akhir.,aqisthiaf,,0,0,0,atiiati
Thu Aug 31 01:29:32 +0000 2023,0,@summerissuminar @collegemenfess Setuju penghapusan kewajiban skripsi ini lebih industry based bukan untuk melahirkan ilmuan2 baru dari kampus,summerissuminar,,0,0,0,Harjin01
Wed Mar 20 04:54:02 +0000 2024,0,@collegemenfess bisa tergantung prodi deh nderr sinta 2 juga lebih tinggi ibaratnya dari sinta 4 kalau di prodiku udah lulus tanpa skripsi + dapat poin A kalau kaya sender mungkin kebijakan kampus masing masing yaa,collegemenfess,soc,0,0,0,kuehaluss
Sat Dec 23 16:21:04 +0000 2023,0,@oceanaskylight @convomf ada tergantung kebijakan kampus biasanya diganti dengan kegiatan lain bukan semata-mata lulus tanpa skripsi,oceanaskylight,,0,0,0,seiinocry
Fri Dec 15 09:54:20 +0000 2023,0,Salah satu kampus yang sudah menerapkan kebijakan lulus tanpa skripsi adalah ut https://t.co/7nwDV4tVGW,,Kota Gunungsitoli,0,0,0,Salutprawira
Sat Dec 02 04:22:31 +0000 2023,0,November full diprank kehidupan. dari yg kebijakan lulus tanpa skripsi dr prodi sampe temen yg fakenya gak ketulungan. yg salah siapa yg jd victim siapa. ngakunya tertekan pdhl selama ini udah pura gak ada masalah taunya yg sana bikin asumsi sendiri yg salah jd aku,,,0,0,0,Xiaomondz
Sat Nov 18 12:07:21 +0000 2023,1,@DokterTifa Nah apakah ada hubungannya ya kebijakan Kemendikbud yg akan memberlakukan S1 tanpa skripsi wah lama2 kalau pingin punya ijazah tinggal datang saja ke percetakan semoga tdk benar,DokterTifa,,0,1,0,prenjakesuk
Tue Oct 31 08:45:45 +0000 2023,1,@zaskibukan setujuu kata mendikbudristek no 53 tahun 2023 juga ngasih informasi kalau skripsi bisa lulus tanpa skripsi tapiii itu juga dikembalikan pada kebijakan kampus masing masing sih ada beberapa kampus juga yang tetap pakai skripsiii jadi ya gabisa terlalu santai juga,zaskibukan,,0,0,0,anisanur17_
Tue Oct 17 02:18:24 +0000 2023,11,Mahasiswa di kampus Muhammadiyah ini bisa lulus tanpa skripsi! dari Sumatera sampai NTB PTMA sudah terapkan kebijakan ini sebelum dicanangkan @Kemdikbud_RI @nadiemmakarim Daftar jadi mahasiswa melalui @sbmptmu. Pendaftaran akan dibuka kembali pada November 2023. https://t.co/X3EVB3np22,,Yogyakarta,2,2,6,diktilitbang
Mon Sep 18 12:59:17 +0000 2023,1,@collegemenfess klu kampusku drdlu udh ada kebijakan bisa lulus tanpa skripsi. tapi ya tetap ada tugas akhirnya like bikin jurnal atau Hak Kekayaan Intelektual macem-macem lah,collegemenfess,,0,0,0,habishujanair
Fri Sep 15 10:28:40 +0000 2023,0,@collegemenfess Ini alasan dikeluarkannya kebijakan lulus tanpa skripsi,collegemenfess,,0,0,0,krgy_kzto
Wed Sep 13 11:26:35 +0000 2023,1,Memerdekakan Mahasiswa Melalui Kebijakan Lulus tanpa Skripsi https://t.co/myh7d0voFn https://t.co/fTN9P1I7qt,,Indonesia,0,0,0,jurnalpostcom
Mon Sep 04 03:18:44 +0000 2023,0,Rektor UNS Sambut Positif Kebijakan Lulusan tanpa Skripsi Pacu Inovasi dan Kreativitas #rektoruns #uns #lulustanpaskripsi @11MaretUniv @UNSfess_ @BEMUNS https://t.co/xWzQbvaVpf,,"Surakarta, Jawa Tengah",0,0,0,RADARSOLO_
Sun Sep 03 09:23:17 +0000 2023,0,Puji Kebijakan Lulus Tanpa Skripsi Putra Nababan: Lebih Sesuai dengan Kebutuhan Dunia Usaha - https://t.co/yIlEJTGC1O,,Jakarta,0,0,0,kalderanews
Fri Sep 01 16:03:16 +0000 2023,5,Sejujurnya yang ini kebijakan bagus (tidak semuanya). Skripsi sebagai kualifikasi sarjana juga dasarnya ga kuat2 banget ditambah yang naik udah ilmu terapan dan industri. Udah saatnya berkembang tanpa ninggalin tradisi berubah.,,"Sragen, Indonesia",0,1,0,saharasanin
Fri Sep 01 10:19:00 +0000 2023,0,@tyagustinn kalo dr info yg dulu2. itu tergantung kebijakan masing2 univ bisa tanpa skripsi tp syarat harus bikin artikel yg diterbitkan jurnal inter bereptasi minimal Q4 atau jurnal terakreditasi nasional minimal sinta 3. tp balik lg univmu bgmn udh ada kebjakan itu belum..,tyagustinn,,0,1,0,virr_za
Fri Sep 01 04:25:10 +0000 2023,1,Kebijakan hapus skripsi ini disambut positif oleh beberapa perguruan tinggi. Bahkan Universitas Airlangga telah menerapkan kebijakan lulus kuliah tanpa skripsi ini sejak 2020. https://t.co/r2c5luPDnr,KATADATAcoid,Jakarta,0,1,0,KATADATAcoid
Fri Sep 01 02:06:01 +0000 2023,0,Mas/Mbak memang bisa tanpa skripsi tapi syaratnya KURIKULUM PRODI HARUS DIGANTI dulu. Kalaupun kurikulum baru sudah jadi tahun ini tidak mgkn diimplementasikan tahun ajaran ini. Paling cepat diberlakukan pd angkatan 2024. Kalian tidak bisa menikmati kebijakan ini. ,,Pare-Lamongan-Jogja-Semarang,0,0,0,icukprayogi
Thu Aug 31 13:03:38 +0000 2023,15,Saya mendukung kebijakan Mendikbud Nadiem Makarim yg tdk mewajibkan skripsi untuk bisa lulus S1 krn kebijakan itu dulu jg sudah diterapkan di IKIP dan ISI. Di IKIP dulu ada jalur skripsi bagi yg mau jadi dosen dan jalur glundung (tanpa skripsi) bagi yg tdk ingin jadi dosen,,Jakarta,1,0,3,Darmaningtyas
Thu Aug 31 04:22:04 +0000 2023,0,Beberapa program studi atau fakultas di Unsoed yang sudah menerapkan kebijakan lulus tanpa skripsi. Selengkapnya di sini! https://t.co/nWTkhSjAEb,,Jakarta,0,0,0,erakinimedia
Thu Aug 31 02:19:05 +0000 2023,0,Menurutnya kebijakan mahasiswa tanpa perlu mengerjakan skripsi sebagai syarat kelulusan sejatinya sudah pernah diterapkan di Indonesia pada era 1980an. #publisherstory #beritaanaksurabaya https://t.co/J9wWRlREue,,,0,0,1,kumparan
Thu Aug 31 01:14:03 +0000 2023,0,Perguruan Tinggi di Malang Sambut Baik Kebijakan Tanpa Skripsi oleh Nadiem - https://t.co/7FbiSrziVb,,"Malang, East Java, Indonesia",0,0,0,Blokadotcom
Thu Aug 31 00:10:15 +0000 2023,0,@JhonniSinaga20 Salah satu kebijakan menteri jokowi adalah kuliah tanpa skripsi. Keren ga tuh ,JhonniSinaga20,"DKI Jakarta, Indonesia",0,0,0,DYS_yes
Wed Aug 30 17:42:07 +0000 2023,1,Pada 30 Agustus 2023 Universitas Teknik Sumbawa Chairul Hudaya menanggapi jika agenda dihapusnya skripsi sudah ada dari jauh-jauh hari. Dan merasa kebijakan yang berlaku memberikan keleluasan buat kampus tanpa menurunkan kualitas pembelajaran.,SINDOnews,"Jakarta Pusat, DKI Jakarta",0,1,0,SINDOnews
Wed Aug 30 14:18:05 +0000 2023,3,Unsoed Sebut Kebijakan Lulus Tanpa Skripsi Dapat Jadi Alternatif Mahasiswa #TempoTekno https://t.co/tZzfWeSfmf,,Indonesia,0,0,0,tempodotco
Wed Aug 30 06:52:50 +0000 2023,0,Beneran tolol sih kalau ada mahasiswa yg mau dukung kebijakan nadiem. Coba suruh dia skripsi tanpa referensi hah?!,,,0,0,0,retardeus
Wed Aug 30 04:09:01 +0000 2023,0,Mahasiswa Lulus Tanpa Bikin Skripsi Begini Penjelasan Nadiem Makarim Nadiem meluncurkan kebijakan untuk transformasi di bidang pendidikan. Mahasiswa S1 tidak lagi wajib menyusun skripsi sebagai syarat kelulusan #skripsi #morning #mendikbudristek https://t.co/wgvnWs1Ut7,,,0,0,0,caperevisian
Tue Aug 29 14:14:40 +0000 2023,1,@sosmedkeras Ntar udah jalan tanpa skripsi tiba2 ganti kebijakan ,sosmedkeras,"Tokyo-to, Japan",0,0,0,kenmgalf
Tue Aug 29 13:53:23 +0000 2023,1,Memang anak muda kita ini pada kurang info kalo masalah pendidikan itu kebijakan lulus tanpa skripsi udah diterapkan sm bbrp kampus dari 10 tahun yg lalu.,,,0,0,0,Winzeey
Wed Mar 20 05:03:34 +0000 2024,4,@collegemenfess Ini belum ada yang posting namanya? Dianti maulina sari D3 teknik kimia Fakultas teknik Industri Pelaku penghapusan skripsi teman (hingga backup file juga) dan peretasan email,collegemenfess,,0,0,1,hai2wins
Tue Mar 19 21:20:01 +0000 2024,1,@merapi_uncover Masih gk paham yg jadi korban penghapusan skripsi itu fadila apa dianti? Yg meretas ini si HH? Terus kenapa yg buat surat permintaan maaf si dianti?,merapi_uncover,nowhere,0,0,0,mwrmerh
Mon Feb 26 03:28:35 +0000 2024,1,BZIRRR SKS YANG KULULUSI 154 BELUM SAMA SKRIPSI SOLUSINYA YA PENGHAPUSAN MATKUL DI TRANSKRIP ALIAS SIA SIA GUE KULIAH UJUNG UJUNGNYA DIHAPUS,,,0,2,0,sisulungcantik
Sat Feb 10 03:53:15 +0000 2024,1,Jenis-jenis KDRT KDRT sendiri telah diatur di dalam UU no 23 tahun 2004 tentang Penghapusan kekerasan dalam rumah tangga yang mana Salah satu aturannya membahas membahas Mengenai jenis-jenis KDRT nihh. #jokitugaskuliah #jokitugashukum #zonauangᅠ #Zonajajan #zonahukum https://t.co/ynLccL55X3,,,0,0,1,Jasatgshukum
Sat Jan 27 05:44:52 +0000 2024,0,@collegemenfess kalau di prodiku ngajuin penghapusan nilainya nanti aja sekalian kalau udah skripsi dan diajuin pas pemberkasan buat sidang,collegemenfess,"Semarang, Indonesia",0,0,0,anjar_imran
Sat Jan 20 09:47:49 +0000 2024,0,@lumidouces Maju Kanin. Minta penghapusan skripsi atau lulus diganti pake sertifikat genshin. Syaratnya punya C6 semua archon. ,lumidouces,"Him, Kefasha Ethan Rahardian.",0,1,0,hoyongitis
Fri Jan 19 09:47:21 +0000 2024,0,@andrifiadam Penghapusan Skripsi bener2 kebijakan yang tolol sih maksudnya bikin Skripsi tak. Lagi wajib itu tolol,andrifiadam,Gorontalo,0,0,0,klapertaart99
Mon Jan 15 11:03:12 +0000 2024,0,@BearHugKaos @halukinasi Bener rasa bersalahnya dia tidak semerta merta jadi penghapusan atas kesalahannya dulu,BearHugKaos,Semarang,0,0,0,txtdarimaskael5
Wed Dec 20 17:15:13 +0000 2023,0,@nabillaalmd Dampak utama dari penghapusan skripsi adalah hilangnya standar akademik yang tinggi dalam dalam program studi sarjana (S1). Skripsi adalah peluang bagi mahasiswa untuk mengembangkan keterampilan penelitian analisis data dan penulisan . https://t.co/1e19bO8ANI,nabillaalmd,,0,0,0,nabillaalmd
Thu Nov 30 15:10:00 +0000 2023,359,braw! mau tanya keputusan penghapusan atau penggantian skripsi bagi mahasiswa udah berlaku juga di fakultas kalian atau cuma berlaku buat anak vokasi ya? ini sender dapet dari story anak vokasi https://t.co/shv7a5MMNO,,"Malang, Jawa Timur",56,52,14,ubsansfess
Fri Nov 03 07:10:54 +0000 2023,0,@owuuun_07 mjb keknya engga deh baru kemaren debat ttg penghapusan kewajiban kelulusan pke skripsi ,dptmxl_30,backrooms ,0,1,0,smutify
Tue Oct 31 09:59:08 +0000 2023,0,@annisazafanas_ Setuju bgtt Penghapusan skripsi akan sangat bergantung pada struktur dan tujuan sistem pendidikan. Jika ada keinginan untuk menghapus skripsi harus ada penggantian yang memadai dan memastikan bahwa tujuan pendidikan dan pemahaman mahasiswa tetap terpenuhi.,annisazafanas_,"North Sumatra, Indonesia",0,0,0,Amaliakhair_
Tue Oct 31 09:11:10 +0000 2023,1,@zaskibukan mnurutku dgn diberlakukannya peraturan mendikbudristek no. 53 tahun 2023 tentang penghapusan skripsi sebagai syarat wajib kelulusan bagi mahasiswa justru menjadi angin segar di lingkup perkuliahan. -cont-,zaskibukan,gado-gado ,0,1,0,gwisgf
Tue Oct 31 07:22:53 +0000 2023,1,@annisazafanas_ Hasil keputusan Nadiem Makarim selaku Mendikbudristek mengenai penghapusan skripsi pada mahasiswa akhir merupakan kabar bahagia untuk mahasiswa tingkat akhir.,annisazafanas_,,0,1,0,erinaanggr
Thu Oct 26 06:04:31 +0000 2023,6,Nasyiah Talk Edisi ke-4 Pro Kontra Kebijakan Penghapusan Kewajiban Skripsi di Peguruan Tinggi Jumat 27 Oktober 2023 Pukul 19.00 WIB - selesai Narasumber : Risni Julaeni Yuhan Ketua Bidang Pendidikan dan Penelitian PPNA Live Instagram @ppnasyiah #skripsi #pendidikantinggi https://t.co/Ive9n0J8ti,,"Yogyakarta, Indonesia",0,0,2,ppnasyiah
Sat Oct 21 03:11:53 +0000 2023,0,@collegemenfess Karena aku kpopers yang biasa lewat ofcourse tentang kpop. Tapi mostly yang aku buka tentang pendidikan sih kak. Tentang penghapusan skripsi dan sejenisnya,collegemenfess,loving jaehyuk,0,0,0,meonjaehyuk
Wed Oct 18 23:45:35 +0000 2023,0,Soal Kebijakan Penghapusan Skripsi DPRD Kaltim Saran Ganti Jurnal Ilmiah dan Praktik Kerja https://t.co/abyNaXqIKq,,"Kota Bontang, Kalimantan Timur",0,0,0,pranaladotco
Fri Sep 29 02:22:18 +0000 2023,1,Tiga Dampak Penghapusan Skripsi Tesis Disertasi yang Tuai Kontroversi #tulungagung https://t.co/n5eFvBqDjv,,"Tulungagung, Indonesia",0,0,0,ratunews
Wed Sep 27 04:25:18 +0000 2023,0,Hallo #RencangLLDIKTI4! Berikut postingan Fakta penghapusan Skripsi! https://t.co/cv6N5bMWCh #RencangLLDIKTI4 #MentorSehati #MenjadiKatalisatorMelayaniSepenuhHati,,Jl. PHH Mustofa No 38 Bandung ,0,0,0,lldiktiwilayah4
Fri Sep 22 23:54:25 +0000 2023,0,Akhirnya selesai juga life goals satu persatu. Menyingkirkan ego dan gengsi sejak dapat gaji sendiri. Sudah penghapusan cpns dan studi pun selesai. Mengalah gak beli gadget berjuang dengan HP dan Laptop imoets dari jaman skripsi dulu. Puji Tuhan that's it ,,Indonesia,0,0,0,vangampa
Fri Sep 22 14:06:03 +0000 2023,0,@blooomylily Gaaaasss aja kak Mumpung masih belum diresmikan itu keputusan soal penghapusan skripsi ,cimoryyysqueeze,Karawang,0,0,0,vandy_46
Fri Sep 22 13:42:13 +0000 2023,1,Implikasi Penghapusan Kewajiban Skripsi Bagi Mahasiswa Program S1 https://t.co/y4Jki120Wk,,"Surakarta, Jawa Tengah",0,0,0,SukoWaspodo
Fri Sep 22 08:46:37 +0000 2023,0,@UPIfess Jumlah maksimal sks tu 156 (udah termasuk skripsi) kalo di ahir nanti lebih dari itu mau gamau ada penghapusan matkul angus ga angus gabegitu rugi sih asalkan sks lu kaga pas pasan aja buat lulus harusnya gabakal kekurangan sih,UPIfess,,1,0,0,Nebulla40578151
Sat Sep 16 01:45:46 +0000 2023,1,skripsi gw bukan sebatas bungkus gorengan. it's the thought process that is very causal to my daily viewpoint disagreements. penghapusan skripsi buat gw malah kureng efektif. kita selama kuliah kan cuma dikenalkan sama teori skripsi ini lah yg ditujukan buat pengetesan teori itu,wokestappen,24 • she/her,0,0,0,wokestappen
Fri Sep 15 18:38:59 +0000 2023,1,Kalaopun mendikbud di duduki asli produk pendidikan Indonesia yg berangkat dari kampung juga akan kesulitan menerjemahkan dalam bentuk kebijakan. Penghapusan UN dan Skripsi harus atau tidak diserahkan kampus. Menurutku adalah buah dari refleksi panjang dari keruwetan yg komplek,,Indonesia Lahir Batin,0,0,0,NgaliMahfud
Thu Sep 14 14:09:14 +0000 2023,0,*Terkait Penghapusan Skripsi Ini Kata Kaprodi PBSI UIR* https://t.co/RL83XVG0jm,,,0,0,0,romyfanboy
Thu Sep 14 06:20:36 +0000 2023,0,Undana Kupang Siap Menyesuaikan Kebijakan Penghapusan Skripsi untuk Mahasiswa https://t.co/aEI7dyEr1q,,"Jakarta Pusat, DKI Jakarta",0,0,0,tajukflores
Wed Sep 13 04:10:11 +0000 2023,0,Penghapusan kewajiban skripsi memang memberi kebebasan mahasiswa memilih tugas akhir sesuai bidang yang diminati. Meskipun begitu mahasiswa harus memahami tugas akhir lain pengganti skripsi. #ArtikelOpini #AdadiKompas https://t.co/906gG73Kwr,,"Palmerah, Jakarta",0,0,0,KompasData
Wed Sep 13 04:07:51 +0000 2023,0,Penghapusan kewajiban skripsi memang memberi kebebasan mahasiswa memilih tugas akhir sesuai bidang yang diminati. Meskipun begitu mahasiswa harus memahami tugas akhir lain pengganti skripsi. #Opini #AdadiKompas https://t.co/J3SFGJlYcs,,"Palmerah, Jakarta",0,0,0,hariankompas
Tue Sep 12 09:09:05 +0000 2023,0,UMBY Sudah Hapus Skripsi untuk Syarat Lulus. beberapa universitas dan perguruan tinggi menyuarakan pemikiran mereka mengenai wacana penghapusan skripsi sebagai persyaratan kelulusan. -- Ikuti #PendidikanKesehatan #UMBY #yogyakarta via @beritajatimcom https://t.co/Jdp9D8GY4c,,Surabaya,0,0,0,beritajatimcom
Mon Sep 11 18:18:26 +0000 2023,2,Sa udah ada perubahan penghapusan skripsi lho,,Your wallet,0,0,0,ANSY_12shitt
Mon Sep 11 08:25:24 +0000 2023,3,Pro dan Kontra Kebijakan Penghapusan Skripsi https://t.co/Hg9EmOxJTZ,,Indonesia,1,0,0,KompasTV
Sun Sep 10 14:16:50 +0000 2023,0,Pekan lalu kita dikabarkan dengan kebijakan penghapusan skripsi. Namun sayangnya skill menulis di tiap level lingkungan pendidikan terasa masih kurang. Artikel tertaut ini sangat menarik untuk memahami pentingnya menulis https://www.atlantis https://t.co/MTTwR26B9y https://t.co/2nbVgkX8wj,,indonesia,0,0,0,J_Aiyolanda
Sun Sep 10 07:59:34 +0000 2023,1,Hallo semuanya buat yang lagi butuh joki skripsi di penghujung penghapusan skripsi bisa koki bantu yaa harga termurcee.. cuss klik link di bioo,,,0,0,0,koko_joki
Sat Sep 09 02:18:53 +0000 2023,2,ADEK TINGKAT GUE NANYA KE DOSEN AKADEMIK TTG PENGHAPUSAN SKRIPSI WKWKWKWK mentalnya keren batt lukh dek ,,magic shop,0,0,0,dolphinna_
Sat Sep 09 02:08:27 +0000 2023,0,@Red_Wonwoo semoga kampusku nerapin penghapusan skripsi roommate aku udah semester 7 lagi nangis² sama aku krn proposalnya belum naik,red_wonwoo,,0,1,0,nonuunggie
Thu Sep 07 04:45:57 +0000 2023,0,Setuju dengan poin bahwa penghapusan skripsi tesis dan disertasi bukan berarti menghilangkan beban mahasiswa. Membuat rileks pasti. Banyak pengalaman bahwa skripsi dan sejenisnya bisa membuat stres. Selain karena susahnya mencari data mengolah dan menuliskannya ,AryaPanam,"Pekan Baru, Riau",0,1,0,AryaPanam
Thu Sep 07 00:25:52 +0000 2023,0,@serakyut @erickthohir AKU MAS Puan Maharani Dukung Penghapusan Skripsi https://t.co/9Zy3MBBMSS,serakyut,"Palu, Sulawesi Tengah ",0,0,0,HantonoSyahril
Wed Sep 06 08:00:43 +0000 2023,0,Ketua DPR RI Puan Maharani menyebut penghapusan skripsi sebagai syarat kelulusan bagi mahasiswa S1 merupakan bentuk kemerdekaan dalam belajar.Persyaratan skripsi menjadi beban yang berat dan terkadang membatasi eksplorasi ilmu dan minat akademik mahasiswa. https://t.co/Ks6Tpy3xXW https://t.co/GGXs05fXev,,,1,0,0,VIVAcoid
Tue Sep 05 10:49:15 +0000 2023,1,Puan Maharani menyebut penghapusan skripsi sebagai syarat kelulusan bagi mahasiswa S1 merupakan bentuk kemerdekaan dalam belajar. https://t.co/BE25SYVPY7,,NKRI,0,0,0,antaranews
Tue Sep 05 09:25:02 +0000 2023,0,Mahasiswa UHW Perbanas Punya Kesempatan Lulus Lewat Proyek Bisnis. UHW Perbanas Surabaya masih akan melakukan sejumlah analisis kebijakan Kemendikbudristek terkait penghapusan skripsi dalam #PendidikanKesehatan #Penghapusanskripsi via @beritajatimcom https://t.co/uVCSsyuzm6,,Surabaya,0,0,0,beritajatimcom
Tue Sep 05 09:17:40 +0000 2023,3,Plh. Kadisdik Aceh Dr. Asbaruddin STP. MM. M.Eng menjadi Narasumber dalam acara Talkshow Pro 1 RRI Banda Aceh dengan tema Menyahuti Kebijakan Penghapusan Skripsi Oleh MendikbudRistek Republik Indonesia . @pro1bandaaceh #pemerintahaceh #dinaspendidikanaceh https://t.co/ScDLUao4MN,,Kota Banda Aceh,0,0,0,disdikacehprov
Mon Sep 04 23:14:32 +0000 2023,0,Universitas Mulawarman Pertimbangkan Penghapusan Skripsi https://t.co/gTKEjSUXWk,,"Kalimantan Timur, Indonesia",0,0,1,IDNTimesKaltim
Mon Sep 04 07:00:00 +0000 2023,0,Juru Bicara Nasional DPP Partai Perindo Ike Julies Tiati atau Ike Suharjo mengatakan aturan baru ini tentu menjadi suatu terobosan baru bagi dunia pendidikan di Indonesia. #GTV #BuletiniNews #Perindo #jubir #Mendikbudristek #penghapusan #Skripsi #syarat #lulus https://t.co/82ZZD7XkL0,,"Jakarta, Indonesia",0,0,0,GTVID_News
Mon Sep 04 03:39:05 +0000 2023,0,Kebijakan Penghapusan Skripsi di Era Kehadiran AI: Menguntungkan atau Merugikan? #TempoIndonesiana https://t.co/UFNpVHXSx2,,Jakarta,0,0,0,indonesiana
Sun Sep 03 23:44:57 +0000 2023,1,@CNNIndonesia Skripsi adalah salah satu kompetensi spesifik dan spesialistik dan aplikatif yg dikuasai oleh mahasiswa lulusan peguruan tinggi. Selain itu pembahasan tema skripsi merupakan tema pembahasan utama di dunia kerja. Penghapusan skripsi ini hanya akan menurunkan daya saing warga 62.,CNNIndonesia,Jakarta,0,0,0,IsmanTengku
Sun Sep 03 04:40:19 +0000 2023,0,Gimana Cah? Menurut kamu tepat gak sih kebijakan mengenai penghapusan skripsi ini? Sampaikan pendapatmu dengan reply atau qrt!,cahunsoedcom,Unsoed - Purwokerto,0,0,0,cahunsoedcom
Sun Sep 03 04:40:16 +0000 2023,0,Berdasarkan isi dari peraturan menteri tersebut terdapat perubahan atau dampak berupa penghapusan skripsi bagi mahasiswa S1.,cahunsoedcom,Unsoed - Purwokerto,0,1,0,cahunsoedcom
Sun Sep 03 04:40:15 +0000 2023,0,Pada 29 Agustus 2023 Nadiem Makarim mengumumkan mengenai penghapusan skripsi yang terdapat dalam Peraturan Menteri Pendidikan Kebudayaan Riset dan Teknologi (Permendikbudristek) Nomor 53 Tahun 2023 tentang Penjaminan Mutu Pendidikan Tinggi.,cahunsoedcom,Unsoed - Purwokerto,0,1,0,cahunsoedcom
Sun Sep 03 04:40:14 +0000 2023,3,Kepriwe kabare Cah? Beberapa hari kemarin ramai nih mengenai penghapusan skripsi oleh Menteri Pendidikan Nadiem Makarim. Kalian penasaran gak sih kenapa Pak Nadiem bisa mengatakan seperti itu? #CahunsoedInfo A Thread,,Unsoed - Purwokerto,0,1,2,cahunsoedcom
Sat Sep 02 19:08:00 +0000 2023,0,Kepala Dinas Pendidikan Kota Gorontalo: Penghapusan Skripsi Tidak Tepat https://t.co/TIuYYknRb8,,Gorontalo,0,0,0,pojok6indonesia
